Año de Fecha,Tipo Huevo,Canal,Ciudad ,Uds,Prom. Uds,Precio Full,Precio,Costo Pcc ,Empaque ,Clasificación ,Almacenamiento,1era Milla,Admon UM/Huevo,Log UM Veh,Total Ccial UM,Ccial UM,Mercaderismo,Staff ,Mercadeo ,Otros G.Venta,Admon ,Depreciaciones,Dev Total ,Averías Post Entrega,EBITDA (Ccial Ajustado)/Huevo,Mg. Ebitda Ccial,Prom. Dias Cartera,Cartera,Ebitda (Cartera),Mg Ebitda.
2025,AA,AU ESP,POPAYAN,"44,160","7,360",632.88,565.22,289.81,44.64,24.11,3.7,16.11,6.75,0,0,0,0,4.23,6.66,11.57,28.95,8.25,0,0,136.94,0.24,60,22.43,117.48,0.21
2025,AA,AU ESP,SANTA MARTA,"189,450","31,575",650.78,618.35,290.27,46.28,24.32,3.78,25.09,8.09,40.54,60.76,5.15,55.62,4.27,6.31,11.74,28.64,8.35,4,0,72.6,0.12,24,4.17,68.46,0.11
2025,AA,FS,BARRANQUILLA,"2,556,279","426,047",500.61,500.61,289.98,10.17,15.71,3.76,18.03,11.03,34.24,22.26,22.26,0,3.76,5.28,10.26,25.55,8.37,0.09,0,58.84,0.12,24,4.77,52.93,0.11
2025,AA,FS,BOGOTA,"3,083,846","513,974",522.92,522.92,290.31,10.34,16,3.8,20.35,18.08,43.29,27.06,27.06,0,3.77,5.4,10.18,25.21,8.37,0.04,0,57.48,0.11,34,13.3,49.88,0.1
2025,AA,FS,BUCARAMANGA,"281,135","46,856",516.87,516.87,290.88,10.36,16.48,3.86,3.63,8.23,32.73,0.81,0.81,0,3.82,5.56,10.09,24.63,8.41,0.03,0,114.16,0.22,51,20.23,88.36,0.17
2025,AA,FS,CALI,"732,425","122,071",524.96,524.96,290.02,9.98,15.66,3.76,5.88,15.97,27.99,15.61,15.61,0,3.76,5.34,10.22,25.45,8.37,0.07,0,103.62,0.2,29,8.24,96.67,0.18
2025,AA,FS,CARTAGENA,"5,383,746","897,291",505.59,505.59,290.18,11.95,16.39,3.78,18.36,13.86,15.19,5.78,5.78,0,3.79,5.35,10.27,25.59,8.35,0.04,0,93.42,0.18,27,6.84,87.27,0.17
2025,AA,FS,MEDELLIN,"2,485,546","414,258",506.32,506.32,289.93,13.14,15.99,3.77,12.53,16.97,33.28,16.02,16.02,0,3.78,5.41,10.32,25.78,8.36,0.2,0,67.57,0.13,33,11.77,58.74,0.12
2025,AA,FS,PEREIRA,"888,374","148,062",518.54,518.54,290.03,11.83,16.15,3.76,12.37,10.27,23.02,0.2,0.2,0,3.79,5.36,10.34,25.72,8.37,0.02,0,114.03,0.22,30,4.94,111.98,0.22
2025,AA,FS,SANTA MARTA,"661,770","110,295",501.29,501.29,289.73,11.12,15.62,3.73,20.78,8.4,41.05,2.87,2.87,0,3.76,5.2,10.34,25.95,8.35,0.23,0,70.84,0.14,24,5.25,65.64,0.13
2025,AA,GS,BARRANQUILLA,"10,500,717","1,750,120",646.8,592.03,290.18,46.12,24.38,3.77,27.87,0.35,3.11,20.63,14.94,5.68,4.32,6.19,6.45,29.09,8.37,0.73,0.19,137.02,0.23,50,16.35,118.77,0.2
2025,AA,GS,BOGOTA,"15,019,746","2,503,291",652.22,575.15,290.27,45.56,24.29,3.73,29.08,2.8,12.47,53.88,26.12,27.76,4.28,5.84,6.73,29.52,8.36,0.04,1.35,73.66,0.13,48,19.5,51.65,0.09
2025,AA,GS,BUCARAMANGA,"962,100","160,350",636.29,573.07,289.58,44.66,24.33,3.73,8.82,3.45,23.96,56.25,25.28,30.97,4.26,5.34,7.26,29.6,8.42,0.38,0.11,79.76,0.14,56,21.13,60.5,0.11
2025,AA,GS,CALI,"2,854,626","475,771",652.54,584.79,290.63,46.26,24.35,3.74,9.78,3.08,6.36,49.29,23.64,25.66,4.32,5.9,6.85,29.49,8.38,0.22,0,112.88,0.19,53,17.7,92.59,0.16
2025,AA,GS,CARTAGENA,"3,067,218","511,203",642.55,610.17,290.04,47.21,24.39,3.76,32.36,1.08,4.14,24.67,6.83,17.84,4.33,6.19,6.57,29.26,8.38,0.73,1.33,142.49,0.23,45,13.65,129.39,0.21
2025,AA,GS,CUCUTA,"30,510","5,085",639.38,608.99,288.97,43.09,24.43,3.68,21.65,11.77,32.68,56.74,11.1,45.64,4.36,5.1,8.86,31.23,8.44,0,0,84.87,0.14,51,21.31,66.65,0.11
2025,AA,GS,MEDELLIN,"4,363,056","727,176",662.37,567.38,290.57,46.87,24.29,3.72,29.41,1.47,8.81,49.3,27.2,22.1,4.29,5.83,6.64,29.6,8.36,0.1,0,74.86,0.13,55,21.37,27.41,0.05
2025,AA,GS,PASTO,"43,680","7,280",648.78,612.73,290.42,47.48,24.52,3.81,31.6,6.22,-3.83,95.14,95.14,0,4.37,5.56,8.36,29.41,8.39,0.55,0,77.51,0.13,58,13.55,66.31,0.11
2025,AA,GS,PEREIRA,"337,200","56,200",665.37,567,290.61,47.88,24.24,3.73,19.47,0.08,0.65,79.16,27.8,51.36,4.26,6,6.43,29.33,8.35,0.25,0,63.24,0.11,59,21.18,42.08,0.07
2025,AA,GS,SANTA MARTA,"138,840","23,140",646.66,574.68,290,44.17,24.26,3.72,27.89,8.22,39.74,55.99,4.17,51.82,4.28,5.91,8.24,29.35,8.31,2.46,0,38.76,0.07,55,21.23,18.4,0.03
2025,AA,HD,APARTADO,"4,504,896","750,816",533.1,520.94,290.13,30.59,24.13,3.76,30.71,0,7.29,0,0,0,1.65,0,5.13,26.07,8.37,1.3,0,108.54,0.21,5,0.27,108.28,0.21
2025,AA,HD,BARRANQUILLA,"8,939,544","1,489,924",537.61,525.6,290.37,47.41,23.66,3.78,24.9,0,4.31,0,0,0,1.66,0.01,5.15,26.09,8.36,0.61,0,106.03,0.2,8,0.27,105.75,0.2
2025,AA,HD,BOGOTA,"16,882,296","2,813,716",560.13,547.98,290.04,35.77,24.25,3.78,23.41,0,11.1,0,0,0,1.72,2.51,5.56,27.4,8.37,0.28,0,130.52,0.24,4,0.26,130.26,0.24
2025,AA,HD,BUCARAMANGA,"9,150,624","1,525,104",532.17,519.99,290.02,27.7,24.26,3.78,4.66,0,77.46,0,0,0,1.65,0,5.12,26.1,8.36,0.16,0,67.45,0.13,4,0.27,67.17,0.13
2025,AA,HD,CALI,"12,483,936","2,080,656",531.22,518.99,289.77,24.46,24.37,3.75,8.13,0,12.5,0,0,0,1.66,0,5.16,26.38,8.36,0.09,0,131.1,0.25,4,0.3,130.8,0.25
2025,AA,HD,CUCUTA,"3,975,408","662,568",532.17,520,289.8,27.04,24.17,3.73,18.6,0,0.49,0,0,0,1.65,0,5.18,26.39,8.37,2.11,0,129.21,0.25,5,0.29,128.92,0.25
2025,AA,HD,MEDELLIN,"18,545,340","3,090,890",549.8,537.68,289.2,36.72,24.17,3.7,18.23,0,6.89,0,0,0,1.72,1.57,5.53,27.91,8.34,0.38,0,129.99,0.24,5,0.33,129.66,0.24
2025,AA,HD,MONTERIA,"6,400,416","1,066,736",532.35,520.17,289.64,29.24,24.27,3.73,14.24,0,5.61,0,0,0,1.66,0,5.16,26.55,8.32,1.4,0,127,0.24,4,0.31,126.68,0.24
2025,AA,HD,POPAYAN,"199,056","66,352",532.73,520.34,294.02,26.47,24.82,4.02,15.26,0,0.68,0,0,0,1.6,0,4.77,22.09,8.6,3.52,0,131.7,0.25,0,0,131.7,0.25
2025,AA,HD,VALLEDUPAR,"2,271,216","378,536",537.1,524.94,290.06,47.42,23.81,3.77,22.06,0,0.53,0,0,0,1.64,0,5.11,26.06,8.35,2.56,0,110.28,0.21,5,0.27,110.01,0.21
2025,AA,MY,BARRANQUILLA,"833,291","416,646",363.56,363.56,288.49,7.92,15.72,3.44,38.76,0,0,0.85,0.85,0,0.84,0,3.29,11.63,8.05,0.02,0,0.65,0,32,4.99,-4.34,-0.01
